"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_1034_6","boolean_value_S_1",2020-05-06,2022-05-11,"736 days",0.7,1.2,255544,157250600.610464,319954.266756761,15032,0.046981714456797,0.197876513990889,9.42310965560553,1.31636850712406e-05,790000,790000,1.46910287525743,18038.4,0.2,383945.120108113,0.2,0.046981714456797,0.265399945688591,10.2325890454911,1.47130535795077e-05,0.341240253003506,0.0859036368534734
"2","5_1034_6","FB_female_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,16764044,157250600.610464,319954.266756761,26317.180533752,0.082252944461463,0.0325312757022633,9.42310965560553,1.2361231348678e-06,790000,790000,1.46910287525743,31580.6166405024,0.2,383945.120108113,0.2,0.082252944461463,0.0468285413296068,10.2325890454911,1.48282542619984e-06,0.439492928534273,0.0859036368534734
"3","5_1034_6","FB_male_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,94562596,157250600.610464,319954.266756761,129007.634379263,0.403206482248099,8.91437534871837,9.42310965560553,6.90995954744154e-05,790000,790000,1.46910287525743,154809.161255116,0.2,383945.120108113,0.2,0.403206482248099,9.52623097572427,10.2325890454911,6.15353180554065e-05,0.0686369603108379,0.0859036368534734
"4","5_1034_6","FB_o36_similar_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,1946307,157250600.610464,319954.266756761,5844.76576576577,0.0182675037436183,0.00393718609509212,9.42310965560553,6.73625984834702e-07,790000,790000,1.46910287525743,7013.71891891892,0.2,383945.120108113,0.2,0.0182675037436183,0.00632437224197805,10.2325890454911,9.01714527640762e-07,0.606317834420292,0.0859036368534734
"5","5_1034_6","FB_undefined_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,31145577,157250600.610464,319954.266756761,47118.8759455371,0.147267534273448,0.201084404211108,9.42310965560553,4.26759764905118e-06,790000,790000,1.46910287525743,56542.6511346445,0.2,383945.120108113,0.2,0.147267534273448,0.276837761362704,10.2325890454911,4.896087392568e-06,0.376724179325545,0.0859036368534734
"6","5_1034_6","Google_listing_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,163289,157250600.610464,319954.266756761,2591.88888888889,0.00810081051633334,0.0204005512403398,9.42310965560553,7.8709204425369e-06,790000,790000,1.46910287525743,3110.26666666667,0.2,383945.120108113,0.2,0.00810081051633334,0.0291288881711362,10.2325890454911,9.3653989490085e-06,0.427848092336694,0.0859036368534734
"7","5_1034_6","Google_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,4121458,157250600.610464,319954.266756761,9607.12820512821,0.0300265669294288,0.0106490761194118,9.42310965560553,1.10845571038882e-06,790000,790000,1.46910287525743,11528.5538461538,0.2,383945.120108113,0.2,0.0300265669294288,0.0175832247749456,10.2325890454911,1.52518910954401e-06,0.65115025733488,0.0859036368534734
"8","5_1034_6","Google_Proslisting_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,5524498,157250600.610464,319954.266756761,24019.5565217391,0.075071843126879,0.00538048419989749,9.42310965560553,2.24004310613638e-07,790000,790000,1.46910287525743,28823.467826087,0.2,383945.120108113,0.2,0.075071843126879,0.0092365457529641,10.2325890454911,3.20452272040787e-07,0.716675564838584,0.0859036368534734
"9","5_1034_6","Influencer_big_fix_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,2581992.610464,157250600.610464,319954.266756761,57377.6135658667,0.179330671684672,0.0368748153281504,9.42310965560553,6.42669031290748e-07,790000,790000,1.46910287525743,68853.13627904,0.2,383945.120108113,0.2,0.179330671684672,0.0550187904449261,10.2325890454911,7.99074572608462e-07,0.492042467340154,0.0859036368534734
"10","5_1034_6","Yahoo_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,185295,157250600.610464,319954.266756761,3037.62295081967,0.00949392855926178,0,9.42310965560553,0,790000,790000,1.46910287525743,3645.14754098361,0.2,383945.120108113,0.2,0.00949392855926178,0,10.2325890454911,0,NA,0.0859036368534734
