"","solID","channels","date_min","date_max","periods","constr_low","constr_up","histSpend","histSpendTotal","initSpendUnitTotal","initSpendUnit","initSpendShare","initResponseUnit","initResponseUnitTotal","initRoiUnit","expSpendTotal","expSpendUnitTotal","expSpendUnitDelta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmResponseUnit","optmResponseUnitTotal","optmRoiUnit","optmResponseUnitLift","optmResponseUnitTotalLift"
"1","5_1034_6","boolean_value_S_1",2020-05-06,2022-05-11,"736 days",0.7,1.2,255544,157250600.610464,319954.266756761,15032,0.046981714456797,0.197876513990889,9.42310965560553,1.31636850712406e-05,310000,310000,-0.031111529962275,18038.4,0.2,309999.999999999,-0.0311115299622787,0.0581883870967744,0.265399945688591,10.0515233239223,1.47130535795077e-05,0.341240253003506,0.0666885658008827
"2","5_1034_6","FB_female_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,16764044,157250600.610464,319954.266756761,26317.180533752,0.082252944461463,0.0325312757022633,9.42310965560553,1.2361231348678e-06,310000,310000,-0.031111529962275,18422.0263736264,-0.3,309999.999999999,-0.0311115299622787,0.0594258915278272,0.0159340557883102,10.0515233239223,8.6494587865328e-07,-0.510192716260383,0.0666885658008827
"3","5_1034_6","FB_male_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,94562596,157250600.610464,319954.266756761,129007.634379263,0.403206482248099,8.91437534871837,9.42310965560553,6.90995954744154e-05,310000,310000,-0.031111529962275,154809.161255116,0.2,309999.999999999,-0.0311115299622787,0.499384391145537,9.52623097572427,10.0515233239223,6.15353180554065e-05,0.0686369603108379,0.0666885658008827
"4","5_1034_6","FB_o36_similar_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,1946307,157250600.610464,319954.266756761,5844.76576576577,0.0182675037436183,0.00393718609509212,9.42310965560553,6.73625984834702e-07,310000,310000,-0.031111529962275,4091.33603603604,-0.3,309999.999999999,-0.0311115299622787,0.0131978581807615,0.0015576291038837,10.0515233239223,3.80714047969729e-07,-0.604380116595108,0.0666885658008827
"5","5_1034_6","FB_undefined_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,31145577,157250600.610464,319954.266756761,47118.8759455371,0.147267534273448,0.201084404211108,9.42310965560553,4.26759764905118e-06,310000,310000,-0.031111529962275,45699.4647980662,-0.0301240451727141,309999.999999999,-0.0311115299622787,0.147417628380859,0.19056921598106,10.0515233239223,4.17005356240242e-06,-0.0522924105989276,0.0666885658008827
"6","5_1034_6","Google_listing_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,163289,157250600.610464,319954.266756761,2591.88888888889,0.00810081051633334,0.0204005512403398,9.42310965560553,7.8709204425369e-06,310000,310000,-0.031111529962275,3110.26666666667,0.2,309999.999999999,-0.0311115299622787,0.0100331182795699,0.0291288881711362,10.0515233239223,9.3653989490085e-06,0.427848092336694,0.0666885658008827
"7","5_1034_6","Google_other_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,4121458,157250600.610464,319954.266756761,9607.12820512821,0.0300265669294288,0.0106490761194118,9.42310965560553,1.10845571038882e-06,310000,310000,-0.031111529962275,6724.98974358974,-0.3,309999.999999999,-0.0311115299622787,0.0216935153019025,0.00398956752036267,10.0515233239223,5.9324514571424e-07,-0.625360221335048,0.0666885658008827
"8","5_1034_6","Google_Proslisting_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,5524498,157250600.610464,319954.266756761,24019.5565217391,0.075071843126879,0.00538048419989749,9.42310965560553,2.24004310613638e-07,310000,310000,-0.031111529962275,16813.6895652174,-0.3,309999.999999999,-0.0311115299622787,0.054237708274895,0.00186889979475539,10.0515233239223,1.1115346144023e-07,-0.652652117296248,0.0666885658008827
"9","5_1034_6","Influencer_big_fix_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,2581992.610464,157250600.610464,319954.266756761,57377.6135658667,0.179330671684672,0.0368748153281504,9.42310965560553,6.42669031290748e-07,310000,310000,-0.031111529962275,40164.3294961067,-0.3,309999.999999999,-0.0311115299622787,0.129562353213248,0.0168441461499379,10.0515233239223,4.19380738114169e-07,-0.543207308293176,0.0666885658008827
"10","5_1034_6","Yahoo_S",2020-05-06,2022-05-11,"736 days",0.7,1.2,185295,157250600.610464,319954.266756761,3037.62295081967,0.00949392855926178,0,9.42310965560553,0,310000,310000,-0.031111529962275,2126.33606557377,-0.3,309999.999999999,-0.0311115299622787,0.00685914859862509,0,10.0515233239223,0,NA,0.0666885658008827
