ds,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_o36_similar_S,FB_anotherproduct_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,Google_youtube_S,Google_display_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,type,solID
2021/1/8,0,0,0,0,0,0,0,15245,0,0,79971,5739,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/9,0,0,0,0,0,0,0,7626,0,0,72982,5796,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/10,0,0,0,0,0,0,0,4948,0,0,84975,5019,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/11,0,0,0,0,0,0,0,25486,0,0,94164,5003,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/12,0,0,0,0,0,0,0,32214,0,0,109424,5018,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/13,0,0,0,0,0,0,0,33176,0,0,123036,5039,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/14,0,0,0,0,0,0,0,33288,0,0,128389,4766,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/15,0,0,0,0,0,0,0,30457,0,0,129260,15269,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/16,0,0,0,0,0,0,0,44960,0,0,131548,18169,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/17,0,0,0,0,0,0,0,54349,0,0,133470,18667,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/18,0,0,0,0,0,0,0,55283,0,0,134247,15616,0,0,0,0,0,,,,,rawSpend,4_1114_7
