ds,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_o36_similar_S,FB_anotherproduct_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,Google_youtube_S,Google_display_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,type,solID
2021/1/19,0,0,0,0,0,0,0,41957,14355,0,144871,13591,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/20,0,0,0,0,0,0,0,41082,14208,0,143732,13519,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/21,0,0,0,0,0,0,0,38135,15000,0,140666,11032,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/22,0,0,0,0,0,0,0,51818,15000,0,134832,9977,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/23,0,0,0,0,0,0,0,54776,14972,0,130477,9834,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/24,0,0,0,0,0,0,0,56174,26919,0,133426,10079,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/25,0,0,0,0,0,0,0,45233,29946,0,133633,10065,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/26,0,0,0,0,0,0,0,55279,29967,0,123406,10026,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/27,0,0,0,0,0,0,0,52550,29660,0,148680,10084,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/28,0,0,0,0,0,0,0,52928,28952,0,151437,11211,0,0,0,0,0,,,,,rawSpend,4_1114_7
2021/1/29,0,0,0,0,0,0,0,48879,30000,0,147185,15528,0,0,0,0,0,,,,,rawSpend,4_1114_7
